Variety,Cropping_System,Sowing_Date,Harvest_Date,Yield
MOCARI,RIEGO,2012-01-06,2012-05-09,5581.132803
F733,RIEGO,2008-08-12,2008-12-15,7700.0
N.n.,RIEGO,2007-04-07,2007-08-10,7250.0
F60,RIEGO,2011-10-27,2012-02-29,5280.232558
F60,RIEGO,2011-10-27,2012-02-29,5029.887597
F60,RIEGO,2011-10-27,2012-02-29,5190.678295000001
F733,RIEGO,2011-10-27,2012-02-29,6110.4677
F733,RIEGO,2011-10-27,2012-02-29,6085.271318
F733,RIEGO,2011-10-27,2012-02-29,4704.53876
MOCARI,RIEGO,2011-10-27,2012-02-29,5735.05814
MOCARI,RIEGO,2011-10-27,2012-02-29,4127.878229999999
MOCARI,RIEGO,2011-10-27,2012-02-29,4387.267442
F50,RIEGO,2013-03-13,2013-07-17,5922.0
F50,RIEGO,2013-03-13,2013-07-17,7478.9625
F50,RIEGO,2013-03-13,2013-07-17,3991.451163
F50,RIEGO,2013-03-13,2013-07-17,4999.517442
F60,RIEGO,2011-12-05,2012-04-09,5660.954712
F60,RIEGO,2011-12-05,2012-04-09,5697.674419
F60,RIEGO,2011-12-05,2012-04-09,5246.328029
F60,RIEGO,2012-02-07,2012-06-12,7535.976744
F60,RIEGO,2012-02-07,2012-06-12,8714.92907
F60,RIEGO,2012-02-07,2012-06-12,8364.861628
F733,RIEGO,2011-12-05,2012-04-09,6884.94492
F733,RIEGO,2011-12-05,2012-04-09,7085.556916
F733,RIEGO,2011-12-05,2012-04-09,8315.911873000001
F733,RIEGO,2012-02-07,2012-06-12,7192.383720999999
F733,RIEGO,2012-02-07,2012-06-12,7248.658866
F733,RIEGO,2012-02-07,2012-06-12,5088.33314
MOCARI,RIEGO,2011-12-05,2012-04-09,6044.124847
MOCARI,RIEGO,2011-12-05,2012-04-09,5505.01836
MOCARI,RIEGO,2011-12-05,2012-04-09,6373.470012
MOCARI,RIEGO,2012-02-07,2012-06-12,6059.273256
MOCARI,RIEGO,2012-02-07,2012-06-12,5556.395349
MOCARI,RIEGO,2012-02-07,2012-06-12,5987.527907
F275,RIEGO,2008-12-10,2009-04-16,8518.75
F50,RIEGO,2011-02-11,2011-06-18,6592.44186
F50,RIEGO,2011-02-11,2011-06-18,5186.627907
F50,RIEGO,2011-02-11,2011-06-18,7926.744186
F50,RIEGO,2011-02-11,2011-06-18,5762.790698
F50,RIEGO,2012-08-09,2012-12-14,8530.593023000001
F50,RIEGO,2012-08-09,2012-12-14,6376.05407
F50,RIEGO,2012-08-09,2012-12-14,5827.361919
F50,RIEGO,2012-08-09,2012-12-14,6283.255814
F2000,RIEGO,2012-07-03,2012-11-09,5108.196221
F2000,RIEGO,2012-07-03,2012-11-09,7586.262209
F2000,RIEGO,2012-07-03,2012-11-09,8595.361047
F2000,RIEGO,2012-07-03,2012-11-09,5962.33314
F50,RIEGO,2010-12-27,2011-05-05,7491.860465000001
F50,RIEGO,2010-12-27,2011-05-05,7106.976744
F50,RIEGO,2010-12-27,2011-05-05,7664.0988370000005
F50,RIEGO,2010-12-27,2011-05-05,7116.2790700000005
F60,RIEGO,2012-07-03,2012-11-09,5513.332849
F60,RIEGO,2012-07-03,2012-11-09,6285.061919
F60,RIEGO,2012-07-03,2012-11-09,7949.816859999999
F60,RIEGO,2012-07-03,2012-11-09,7395.339244
F733,RIEGO,2012-07-03,2012-11-09,7443.415115999999
F733,RIEGO,2012-07-03,2012-11-09,8598.622384
F733,RIEGO,2012-07-03,2012-11-09,7920.084884000001
F733,RIEGO,2012-07-03,2012-11-09,8312.941859999999
OTRAS,RIEGO,2013-03-04,2013-07-12,5625.0
F2000,RIEGO,2012-05-31,2012-10-08,8609.781976999999
F2000,RIEGO,2012-05-31,2012-10-08,7925.265987999999
F2000,RIEGO,2012-05-31,2012-10-08,8916.685465
F2000,RIEGO,2012-05-31,2012-10-08,7154.162791
F60,RIEGO,2012-05-31,2012-10-08,7831.229651000001
F60,RIEGO,2012-05-31,2012-10-08,9503.431977
F60,RIEGO,2012-05-31,2012-10-08,9118.590698
F60,RIEGO,2012-05-31,2012-10-08,7996.819477
F733,RIEGO,2012-05-31,2012-10-08,9314.755814
F733,RIEGO,2012-05-31,2012-10-08,9790.332558
F733,RIEGO,2012-05-31,2012-10-08,9060.930233
F733,RIEGO,2012-05-31,2012-10-08,9477.910465
CIMARRON BARINAS,RIEGO,2008-08-16,2008-12-26,8000.0
COPROSEM 304,RIEGO,2008-03-06,2008-07-16,6312.5
F473,RIEGO,2008-04-19,2008-08-29,8000.0
F50,RIEGO,2007-03-07,2007-07-17,6437.5
F50,RIEGO,2008-07-01,2008-11-10,4687.5
F50,RIEGO,2012-05-31,2012-10-10,9189.113372
F50,RIEGO,2012-05-31,2012-10-10,9027.934593
F50,RIEGO,2012-05-31,2012-10-10,9474.0
F50,RIEGO,2012-05-31,2012-10-10,8268.455233
F50,RIEGO,2012-07-03,2012-11-12,7252.545348999999
F50,RIEGO,2012-07-03,2012-11-12,7564.751163
F50,RIEGO,2012-07-03,2012-11-12,8292.743314
F50,RIEGO,2012-07-03,2012-11-12,6301.707849
CIMARRON BARINAS,RIEGO,2007-05-26,2007-10-06,5187.5
CIMARRON BARINAS,RIEGO,2008-10-14,2009-02-24,8125.0
CIMARRON BARINAS,RIEGO,2008-11-04,2009-03-17,9375.0
COLOMBIA XXI,RIEGO,2008-03-27,2008-08-07,7937.5
F275,RIEGO,2008-05-09,2008-09-19,7687.5
F50,RIEGO,2008-04-24,2008-09-04,7187.5
F50,RIEGO,2007-02-22,2007-07-07,5000.0
CIMARRON BARINAS,RIEGO,2007-05-26,2007-10-13,7812.5
F733,RIEGO,2011-04-01,2011-08-31,6791.860465000001
F733,RIEGO,2011-04-01,2011-08-31,7829.6511629999995
F733,RIEGO,2011-04-01,2011-08-31,7541.860465000001
F733,RIEGO,2011-04-01,2011-08-31,6877.616279000001
CHICALA,RIEGO,2009-12-19,2010-04-24,5600.0
CHICALA,RIEGO,2011-08-23,2011-12-27,5163.0
CIMARRON BARINAS,RIEGO,2009-08-31,2010-01-04,4750.0
CIMARRON BARINAS,RIEGO,2009-09-03,2010-01-07,3437.0
CIMARRON BARINAS,RIEGO,2009-09-11,2010-01-15,5000.0
CIMARRON BARINAS,RIEGO,2009-10-15,2010-02-18,6562.0
CIMARRON BARINAS,RIEGO,2009-10-16,2010-02-19,5312.0
CIMARRON BARINAS,RIEGO,2009-10-19,2010-02-22,5375.0
COLOMBIA XXI,RIEGO,2010-01-24,2010-05-30,7250.0
COLOMBIA XXI,RIEGO,2010-04-09,2010-08-13,7500.0
COLOMBIA XXI,RIEGO,2010-04-10,2010-08-14,7500.0
COLOMBIA XXI,RIEGO,2010-04-10,2010-08-14,7812.0
COLOMBIA XXI,RIEGO,2010-05-02,2010-09-05,6554.0
COLOMBIA XXI,RIEGO,2010-05-29,2010-10-02,8437.0
COLOMBIA XXI,RIEGO,2010-06-08,2010-10-12,6875.0
COLOMBIA XXI,RIEGO,2010-07-19,2010-11-22,8500.0
COLOMBIA XXI,RIEGO,2010-08-10,2010-12-14,7813.0
COLOMBIA XXI,RIEGO,2010-08-19,2010-12-23,6875.0
COLOMBIA XXI,RIEGO,2010-10-23,2011-02-26,7250.0
COLOMBIA XXI,RIEGO,2011-02-23,2011-06-29,6250.0
COLOMBIA XXI,RIEGO,2011-04-09,2011-08-13,7000.0
COLOMBIA XXI,RIEGO,2011-06-28,2011-11-01,5000.0
COLOMBIA XXI,RIEGO,2012-02-24,2012-06-29,7000.0
COLOMBIA XXI,RIEGO,2012-05-07,2012-09-10,7187.0
COPROSEM 304,RIEGO,2010-06-21,2010-10-25,6125.0
DORADA,RIEGO,2010-06-21,2010-10-25,8875.0
F2000,RIEGO,2009-10-12,2010-02-15,5000.0
F2000,RIEGO,2010-04-26,2010-08-30,7875.0
F2000,RIEGO,2011-01-14,2011-05-20,7312.5
F275,RIEGO,2009-09-18,2010-01-22,6250.0
F275,RIEGO,2009-09-25,2010-01-29,5000.0
F275,RIEGO,2009-10-07,2010-02-10,7187.0
F275,RIEGO,2009-10-17,2010-02-20,5750.0
F275,RIEGO,2009-10-23,2010-02-26,6250.0
F275,RIEGO,2009-12-17,2010-04-22,5625.0
F275,RIEGO,2010-03-20,2010-07-24,6800.0
F275,RIEGO,2010-04-21,2010-08-25,7687.0
F473,RIEGO,2010-03-22,2010-07-26,8148.0
F473,RIEGO,2010-03-22,2010-07-26,7812.0
F473,RIEGO,2010-03-24,2010-07-28,8375.0
F473,RIEGO,2010-03-26,2010-07-30,8437.0
F473,RIEGO,2011-03-18,2011-07-22,8000.0
F473,RIEGO,2011-09-19,2012-01-23,6875.0
F473,RIEGO,2012-01-01,2012-05-06,6875.0
F473,RIEGO,2012-04-21,2012-08-25,7625.0
F473,RIEGO,2012-04-25,2012-08-29,7784.0
F473,RIEGO,2012-05-17,2012-09-20,8317.0
F473,RIEGO,2012-06-04,2012-10-08,6625.0
F50,RIEGO,2009-10-10,2010-02-13,5312.0
F50,RIEGO,2010-01-09,2010-05-15,4000.0
F50,RIEGO,2010-01-22,2010-05-28,6500.0
F50,RIEGO,2010-03-06,2010-07-10,6750.0
F50,RIEGO,2010-03-14,2010-07-18,7812.0
F50,RIEGO,2010-04-21,2010-08-25,4062.0
F50,RIEGO,2010-07-14,2010-11-17,6875.0
F50,RIEGO,2010-09-08,2011-01-12,6250.0
F50,RIEGO,2012-05-26,2012-09-29,6250.0
F60,RIEGO,2009-09-10,2010-01-14,3125.0
F60,RIEGO,2009-09-23,2010-01-27,6875.0
F60,RIEGO,2009-10-12,2010-02-15,5750.0
F60,RIEGO,2009-10-22,2010-02-25,5125.0
F60,RIEGO,2009-10-28,2010-03-03,7812.0
F60,RIEGO,2009-11-30,2010-04-05,5000.0
F60,RIEGO,2010-01-11,2010-05-17,4562.0
F60,RIEGO,2010-01-16,2010-05-22,4868.0
F60,RIEGO,2010-03-15,2010-07-19,6562.0
F60,RIEGO,2010-03-16,2010-07-20,7625.0
F60,RIEGO,2010-03-18,2010-07-22,6875.0
F60,RIEGO,2010-03-26,2010-07-30,6300.0
F60,RIEGO,2010-04-15,2010-08-19,7750.0
F60,RIEGO,2010-04-19,2010-08-23,9218.0
F60,RIEGO,2010-05-02,2010-09-05,6500.0
F60,RIEGO,2010-05-25,2010-09-28,7500.0
F60,RIEGO,2010-06-11,2010-10-15,8312.0
F60,RIEGO,2010-06-28,2010-11-01,4500.0
F60,RIEGO,2011-08-16,2011-12-20,5625.0
F60,RIEGO,2012-02-09,2012-06-14,6875.0
F60,RIEGO,2012-02-09,2012-06-14,6875.0
F60,RIEGO,2012-05-30,2012-10-03,6250.0
F60 + F275,RIEGO,2009-10-07,2010-02-10,6250.0
F733,RIEGO,2009-10-24,2010-02-27,4937.0
F733,RIEGO,2010-01-27,2010-06-02,6750.0
F733,RIEGO,2010-02-12,2010-06-18,8625.0
F733,RIEGO,2010-03-06,2010-07-10,6250.0
F733,RIEGO,2010-04-03,2010-08-07,7562.0
F733,RIEGO,2010-04-07,2010-08-11,7500.0
F733,RIEGO,2010-04-11,2010-08-15,8125.0
F733,RIEGO,2010-05-07,2010-09-10,8125.0
F733,RIEGO,2010-05-29,2010-10-02,8687.0
F733,RIEGO,2010-07-07,2010-11-10,7125.0
F733,RIEGO,2010-07-12,2010-11-15,7312.0
F733,RIEGO,2010-09-16,2011-01-20,8313.0
F733,RIEGO,2010-09-21,2011-01-25,8438.0
F733,RIEGO,2010-09-23,2011-01-27,7125.0
F733,RIEGO,2010-10-15,2011-02-18,7188.0
F733,RIEGO,2010-10-15,2011-02-18,6750.0
F733,RIEGO,2010-10-18,2011-02-21,7438.0
F733,RIEGO,2010-10-30,2011-03-05,7125.0
F733,RIEGO,2011-02-19,2011-06-25,6437.5
F733,RIEGO,2011-03-06,2011-07-10,6989.0
F733,RIEGO,2011-06-01,2011-10-05,5593.75
F733,RIEGO,2011-06-16,2011-10-20,6562.5
F733,RIEGO,2011-06-25,2011-10-29,5750.0
F733,RIEGO,2011-06-28,2011-11-01,4250.0
F733,RIEGO,2011-07-05,2011-11-08,4750.0
F733,RIEGO,2011-07-28,2011-12-01,6375.0
F733,RIEGO,2011-08-16,2011-12-20,6562.0
F733,RIEGO,2011-09-06,2012-01-10,5875.0
F733,RIEGO,2011-09-06,2012-01-10,5312.5
F733,RIEGO,2011-09-16,2012-01-20,6562.5
F733,RIEGO,2011-09-16,2012-01-20,6000.0
F733,RIEGO,2011-09-21,2012-01-25,5625.0
F733,RIEGO,2011-09-22,2012-01-26,5937.0
F733,RIEGO,2011-09-22,2012-01-26,5625.0
F733,RIEGO,2011-12-11,2012-04-15,6562.5
F733,RIEGO,2011-12-14,2012-04-18,6562.0
F733,RIEGO,2011-12-20,2012-04-24,7500.0
F733,RIEGO,2012-01-05,2012-05-10,7187.5
F733,RIEGO,2012-01-20,2012-05-25,7500.0
F733,RIEGO,2012-01-27,2012-06-01,7500.0
F733,RIEGO,2012-02-15,2012-06-20,6562.0
F733,RIEGO,2012-02-24,2012-06-29,6875.0
F733,RIEGO,2012-02-24,2012-06-29,7062.5
F733,RIEGO,2012-03-05,2012-07-09,6875.0
F733,RIEGO,2012-04-23,2012-08-27,6875.0
F733,RIEGO,2012-04-23,2012-08-27,7000.0
F733,RIEGO,2012-05-09,2012-09-12,6562.0
F733,RIEGO,2012-05-17,2012-09-20,8125.0
F733,RIEGO,2012-05-27,2012-09-30,7500.0
F733,RIEGO,2012-06-06,2012-10-10,4700.0
F733,RIEGO,2012-07-09,2012-11-12,5625.0
F733,RIEGO,2012-07-10,2012-11-13,6875.0
FORTALEZA,RIEGO,2010-04-16,2010-08-20,8437.0
FORTALEZA,RIEGO,2011-09-15,2012-01-19,5437.5
LAGUNAS,RIEGO,2010-09-14,2011-01-18,7250.0
LAGUNAS,RIEGO,2010-10-15,2011-02-18,5625.0
LAGUNAS,RIEGO,2011-04-05,2011-08-09,5555.0
LAGUNAS,RIEGO,2011-04-06,2011-08-10,6053.0
LAGUNAS,RIEGO,2011-04-12,2011-08-16,8625.0
LAGUNAS,RIEGO,2011-04-12,2011-08-16,5750.0
LAGUNAS,RIEGO,2011-04-18,2011-08-22,5862.0
LAGUNAS,RIEGO,2011-04-20,2011-08-24,7375.0
LAGUNAS,RIEGO,2011-04-22,2011-08-26,6266.0
LAGUNAS,RIEGO,2011-06-10,2011-10-14,6500.0
LAGUNAS,RIEGO,2011-06-22,2011-10-26,5687.5
LAGUNAS,RIEGO,2011-07-14,2011-11-17,7000.0
LAGUNAS,RIEGO,2011-07-16,2011-11-19,5562.5
LAGUNAS,RIEGO,2011-07-21,2011-11-24,5000.0
LAGUNAS,RIEGO,2011-07-26,2011-11-29,5625.0
LAGUNAS,RIEGO,2011-07-28,2011-12-01,6937.5
LAGUNAS,RIEGO,2011-08-02,2011-12-06,5375.0
LAGUNAS,RIEGO,2011-08-04,2011-12-08,7312.5
LAGUNAS,RIEGO,2011-08-07,2011-12-11,4437.5
LAGUNAS,RIEGO,2011-08-09,2011-12-13,5812.5
LAGUNAS,RIEGO,2011-09-01,2012-01-05,4687.5
LAGUNAS,RIEGO,2011-09-06,2012-01-10,5625.0
LAGUNAS,RIEGO,2011-09-08,2012-01-12,7041.6
LAGUNAS,RIEGO,2011-09-08,2012-01-12,5312.0
LAGUNAS,RIEGO,2011-09-16,2012-01-20,5375.0
LAGUNAS,RIEGO,2011-09-19,2012-01-23,5043.5
LAGUNAS,RIEGO,2011-09-22,2012-01-26,5812.5
LAGUNAS,RIEGO,2011-11-10,2012-03-15,5750.0
LAGUNAS,RIEGO,2011-11-10,2012-03-15,7125.0
LAGUNAS,RIEGO,2011-12-29,2012-05-03,6562.5
LAGUNAS,RIEGO,2011-12-31,2012-05-05,6875.0
LAGUNAS,RIEGO,2012-01-05,2012-05-10,6287.0
LAGUNAS,RIEGO,2012-01-25,2012-05-30,6875.0
LAGUNAS,RIEGO,2012-02-02,2012-06-07,6875.0
LAGUNAS,RIEGO,2012-02-03,2012-06-08,6250.0
LAGUNAS,RIEGO,2012-02-07,2012-06-12,6229.0
LAGUNAS,RIEGO,2012-02-10,2012-06-15,6562.5
LAGUNAS,RIEGO,2012-02-10,2012-06-15,5169.0
LAGUNAS,RIEGO,2012-02-17,2012-06-22,6148.0
LAGUNAS,RIEGO,2012-02-17,2012-06-22,6562.0
LAGUNAS,RIEGO,2012-02-18,2012-06-23,5312.5
LAGUNAS,RIEGO,2012-02-29,2012-07-04,6981.0
LAGUNAS,RIEGO,2012-03-02,2012-07-06,5750.0
LAGUNAS,RIEGO,2012-03-22,2012-07-26,6250.0
LAGUNAS,RIEGO,2012-03-27,2012-07-31,6562.5
LAGUNAS,RIEGO,2012-03-28,2012-08-01,6875.0
LAGUNAS,RIEGO,2012-04-02,2012-08-06,5000.0
LAGUNAS,RIEGO,2012-04-05,2012-08-09,5625.0
LAGUNAS,RIEGO,2012-05-03,2012-09-06,6875.0
LAGUNAS,RIEGO,2012-05-07,2012-09-10,6250.0
LAGUNAS,RIEGO,2012-05-22,2012-09-25,5625.0
LAGUNAS,RIEGO,2012-06-01,2012-10-05,5515.0
LAGUNAS,RIEGO,2012-06-06,2012-10-10,5250.0
LAGUNAS,RIEGO,2012-07-02,2012-11-05,5000.0
LAGUNAS,RIEGO,2012-07-10,2012-11-13,6562.0
LAGUNAS,RIEGO,2012-07-10,2012-11-13,6125.0
LAGUNAS,RIEGO,2012-07-12,2012-11-15,6250.0
MOCARI,RIEGO,2009-08-31,2010-01-04,6250.0
MOCARI,RIEGO,2009-10-09,2010-02-12,4125.0
MOCARI,RIEGO,2009-10-14,2010-02-17,6750.0
MOCARI,RIEGO,2009-10-15,2010-02-18,7375.0
MOCARI,RIEGO,2009-11-09,2010-03-15,7625.0
MOCARI,RIEGO,2010-03-06,2010-07-10,7812.0
MOCARI,RIEGO,2010-03-13,2010-07-17,8250.0
MOCARI,RIEGO,2010-03-21,2010-07-25,6875.0
MOCARI,RIEGO,2010-04-14,2010-08-18,5875.0
MOCARI,RIEGO,2010-09-19,2011-01-23,5550.0
MOCARI,RIEGO,2011-12-06,2012-04-10,7187.5
ONLY RICE 228,RIEGO,2009-09-01,2010-01-05,5843.0
ONLY RICE 228,RIEGO,2009-09-21,2010-01-25,5625.0
ONLY RICE 228,RIEGO,2009-10-13,2010-02-16,6562.0
ONLY RICE 228,RIEGO,2009-10-14,2010-02-17,5375.0
ONLY RICE 228,RIEGO,2009-10-17,2010-02-20,5625.0
ONLY RICE 228,RIEGO,2009-10-19,2010-02-22,4062.0
ONLY RICE 228,RIEGO,2009-10-22,2010-02-25,5687.0
ONLY RICE 228,RIEGO,2009-10-24,2010-02-27,4750.0
ONLY RICE 228,RIEGO,2009-12-03,2010-04-08,4375.0
ONLY RICE 228,RIEGO,2009-12-07,2010-04-12,3437.0
ONLY RICE 228,RIEGO,2009-12-11,2010-04-16,3875.0
ONLY RICE 228,RIEGO,2010-01-04,2010-05-10,5000.0
ONLY RICE 228,RIEGO,2010-01-07,2010-05-13,5625.0
ONLY RICE 228,RIEGO,2010-01-09,2010-05-15,4562.5
ONLY RICE 228,RIEGO,2010-01-15,2010-05-21,3925.0
ONLY RICE 228,RIEGO,2010-01-19,2010-05-25,6500.0
ONLY RICE 228,RIEGO,2010-02-03,2010-06-09,7500.0
ONLY RICE 228,RIEGO,2010-02-04,2010-06-10,4375.0
ONLY RICE 228,RIEGO,2010-02-09,2010-06-15,4375.0
ONLY RICE 228,RIEGO,2010-03-14,2010-07-18,4187.0
ONLY RICE 228,RIEGO,2010-03-18,2010-07-22,5625.0
ONLY RICE 228,RIEGO,2011-09-06,2012-01-10,5062.5
ORYZICA 1,RIEGO,2012-03-28,2012-08-01,7125.0
ORYZICA 1,RIEGO,2012-03-29,2012-08-02,6428.0
PANORAMA ,RIEGO,2009-09-10,2010-01-14,3000.0
PANORAMA ,RIEGO,2010-08-18,2010-12-22,6305.0
PANORAMA ,RIEGO,2010-08-24,2010-12-28,10125.0
PANORAMA ,RIEGO,2011-01-27,2011-06-02,6250.0
